Country,Year,Digital Payment Adoption (%)
Albania,2014,22.0
Albania,2017,29.0
Albania,2021,35.0
Armenia,2014,12.0
Armenia,2017,42.0
Armenia,2021,47.0
Austria,2014,94.0
Austria,2017,96.0
Austria,2021,99.0
Azerbaijan,2014,20.0
Azerbaijan,2017,25.0
Azerbaijan,2022,43.0
Belarus,2014,66.0
Belarus,2017,79.0
Belgium,2014,96.0
Belgium,2017,97.0
Belgium,2021,97.0
Bosnia and Herzegovina,2014,33.0
Bosnia and Herzegovina,2017,50.0
Bosnia and Herzegovina,2021,67.0
Bulgaria,2014,52.0
Bulgaria,2017,65.0
Bulgaria,2021,75.0
Croatia,2014,76.0
Croatia,2017,83.0
Croatia,2021,87.0
Cyprus,2014,74.0
Cyprus,2017,80.0
Cyprus,2021,87.0
Czech Republic,2014,80.0
Czech Republic,2017,80.0
Czech Republic,2021,94.0
Denmark,2014,100.0
Denmark,2017,99.0
Denmark,2021,100.0
Estonia,2014,96.0
Estonia,2017,97.0
Estonia,2021,99.0
Finland,2014,99.0
Finland,2017,98.0
Finland,2021,98.0
France,2014,93.0
France,2017,92.0
France,2021,98.0
Georgia,2014,24.0
Georgia,2017,53.0
Georgia,2021,62.0
Germany,2014,96.0
Germany,2017,98.0
Germany,2021,99.0
Greece,2014,61.0
Greece,2017,74.0
Greece,2021,91.0
Hungary,2014,67.0
Hungary,2017,71.0
Hungary,2021,86.0
Iceland,2021,100.0
Ireland,2014,90.0
Ireland,2017,94.0
Ireland,2021,98.0
Italy,2014,73.0
Italy,2017,90.0
Italy,2021,96.0
Kazakhstan,2014,47.0
Kazakhstan,2017,54.0
Kazakhstan,2021,78.0
Kosovo,2014,31.0
Kosovo,2017,39.0
Kosovo,2021,48.0
Latvia,2014,87.0
Latvia,2017,91.0
Latvia,2021,95.0
Lithuania,2014,73.0
Lithuania,2017,78.0
Lithuania,2021,91.0
Luxembourg,2014,93.0
Luxembourg,2017,98.0
Malta,2014,79.0
Malta,2017,89.0
Malta,2021,91.0
Moldova,2014,15.0
Moldova,2017,40.0
Moldova,2021,60.0
Montenegro,2014,44.0
Montenegro,2017,60.0
Netherlands,2014,98.0
Netherlands,2017,98.0
Netherlands,2021,99.0
North Macedonia,2014,54.0
North Macedonia,2017,66.0
North Macedonia,2021,74.0
Norway,2014,99.0
Norway,2017,99.0
Norway,2021,99.0
Poland,2014,65.0
Poland,2017,82.0
Poland,2021,93.0
Portugal,2014,75.0
Portugal,2017,86.0
Portugal,2021,91.0
Romania,2014,43.0
Romania,2017,47.0
Romania,2021,64.0
Serbia,2014,64.0
Serbia,2017,66.0
Serbia,2021,87.0
Slovenia,2014,88.0
Slovenia,2017,96.0
Slovenia,2021,97.0
Spain,2014,94.0
Spain,2017,90.0
Spain,2021,98.0
Sweden,2014,99.0
Sweden,2017,98.0
Sweden,2021,99.0
Switzerland,2014,93.0
Switzerland,2017,96.0
Switzerland,2021,98.0
Turkey,2014,50.0
Turkey,2017,64.0
Turkey,2021,68.0
Ukraine,2014,48.0
Ukraine,2017,61.0
Ukraine,2021,81.0
United Kingdom,2014,97.0
United Kingdom,2017,96.0
United Kingdom,2021,99.0
