Country,Country Code,Year,Internet Penetration (% of population)
Albania,AL,2021,79.3237
Andorra,AD,2021,93.8975
Armenia,AM,2021,78.6123
Austria,AT,2021,92.5292
Azerbaijan,AZ,2021,86.0
Belgium,BE,2021,92.7887
Bulgaria,BG,2021,75.2714
Bosnia and Herzegovina,BA,2021,75.6762
Belarus,BY,2021,86.8884
Switzerland,CH,2021,95.5694
Cyprus,CY,2021,90.7595
Czechia,CZ,2021,82.6706
Germany,DE,2021,91.4306
Denmark,DK,2021,98.8659
Spain,ES,2021,93.8975
Estonia,EE,2021,90.9797
Finland,FI,2021,92.8081
France,FR,2021,86.0955
United Kingdom,GB,2021,95.2591
Georgia,GE,2021,76.4427
Greece,GR,2021,78.4943
Croatia,HR,2021,81.254
Hungary,HU,2021,88.6408
Ireland,IE,2021,94.456
Iceland,IS,2021,99.687
Italy,IT,2021,74.8623
Kazakhstan,KZ,2021,90.924
Kyrgyz Republic,KG,2021,74.6424
Liechtenstein,LI,2021,95.5694
Lithuania,LT,2021,86.9305
Luxembourg,LU,2021,98.6609
Latvia,LV,2021,91.1796
Monaco,MC,2021,98.3776
Moldova,MD,2021,60.4747
North Macedonia,MK,2021,83.0182
Malta,MT,2021,87.4698
Montenegro,ME,2021,82.2197
Netherlands,NL,2021,92.053
Norway,NO,2021,99.0
Poland,PL,2021,85.3749
Portugal,PT,2021,82.309
Romania,RO,2021,83.5904
Russian Federation,RU,2021,88.2138
San Marino,SM,2021,81.67
Serbia,RS,2021,81.1659
Slovak Republic,SK,2021,88.9256
Slovenia,SI,2021,89.004
Sweden,SE,2021,94.6703
Tajikistan,TJ,2021,28.34
Ukraine,UA,2021,79.2183
Uzbekistan,UZ,2021,76.5904
