Country,Year,GDP Per Capita PPP (Current US$)
Albania,2010,9626.664893
Albania,2011,10207.16988
Albania,2012,10525.72253
Albania,2013,10570.41983
Albania,2014,11258.45728
Albania,2015,11658.04575
Albania,2016,12078.34882
Albania,2017,12769.76258
Albania,2018,13497.24932
Albania,2019,14617.78491
Albania,2020,14436.48504
Albania,2021,16261.80455
Albania,2022,19492.7831
Albania,2023,21395.32504
Andorra,2010,49486.34682
Andorra,2011,51184.55369
Andorra,2012,49232.9703
Andorra,2013,48054.99033
Andorra,2014,49938.67099
Andorra,2015,51035.8876
Andorra,2016,52847.30087
Andorra,2017,53031.66191
Andorra,2018,55354.3891
Andorra,2019,57573.69305
Andorra,2020,51881.28967
Andorra,2021,58829.85007
Andorra,2022,68311.77298
Andorra,2023,71587.48178
Austria,2010,42002.15714
Austria,2011,44452.73275
Austria,2012,46457.34578
Austria,2013,47922.04912
Austria,2014,48799.71547
Austria,2015,49865.90394
Austria,2016,52684.01711
Austria,2017,54172.98679
Austria,2018,56937.94428
Austria,2019,60574.6271
Austria,2020,58610.83436
Austria,2021,63421.20359
Austria,2022,70975.72063
Austria,2023,73751.35271
Belarus,2010,15364.02984
Belarus,2011,16563.20141
Belarus,2012,18114.75086
Belarus,2013,19014.05297
Belarus,2014,19037.82095
Belarus,2015,18133.56963
Belarus,2016,17832.47789
Belarus,2017,18413.71274
Belarus,2018,20026.03067
Belarus,2019,22301.57669
Belarus,2020,24872.3399
Belarus,2021,27611.18011
Belarus,2022,28406.06615
Belarus,2023,30751.49542
Belgium,2010,39833.18405
Belgium,2011,40942.37271
Belgium,2012,42290.76205
Belgium,2013,43671.11959
Belgium,2014,44929.68559
Belgium,2015,46200.90445
Belgium,2016,48597.39998
Belgium,2017,50442.27054
Belgium,2018,52530.56208
Belgium,2019,56621.54176
Belgium,2020,55730.95289
Belgium,2021,62123.16132
Belgium,2022,68274.20064
Belgium,2023,70455.95843
Bosnia and Herzegovina,2010,9087.25971
Bosnia and Herzegovina,2011,9757.455001
Bosnia and Herzegovina,2012,10108.88323
Bosnia and Herzegovina,2013,10787.72193
Bosnia and Herzegovina,2014,11147.56249
Bosnia and Herzegovina,2015,11825.20942
Bosnia and Herzegovina,2016,12869.30207
Bosnia and Herzegovina,2017,13580.88555
Bosnia and Herzegovina,2018,14800.21032
Bosnia and Herzegovina,2019,16354.00014
Bosnia and Herzegovina,2020,16275.23818
Bosnia and Herzegovina,2021,18396.46909
Bosnia and Herzegovina,2022,20998.52263
Bosnia and Herzegovina,2023,22845.51855
Bulgaria,2010,14955.25983
Bulgaria,2011,15746.5389
Bulgaria,2012,16326.43153
Bulgaria,2013,16648.50693
Bulgaria,2014,17615.10889
Bulgaria,2015,18384.75357
Bulgaria,2016,20064.90795
Bulgaria,2017,21455.8755
Bulgaria,2018,23004.31955
Bulgaria,2019,25526.2811
Bulgaria,2020,25735.00085
Bulgaria,2021,29404.96051
Bulgaria,2022,35463.55499
Bulgaria,2023,38689.54807
Croatia,2010,20093.22348
Croatia,2011,21150.37516
Croatia,2012,21529.92042
Croatia,2013,22218.1496
Croatia,2014,22463.18245
Croatia,2015,23460.56653
Croatia,2016,25427.62718
Croatia,2017,27391.10878
Croatia,2018,29156.34323
Croatia,2019,32329.5605
Croatia,2020,30688.80845
Croatia,2021,37232.59577
Croatia,2022,42399.12226
Croatia,2023,45909.63448
Cyprus,2010,33504.37891
Cyprus,2011,33404.21875
