Country,HFCE per capita (USD),Year
United States,43931,2021
Hong Kong,37893,2022
Luxembourg,33647,2022
Bermuda,32146,2022
Switzerland,31314,2022
Singapore,29790,2022
Norway,27843,2022
Canada,26423,2022
Iceland,26376,2022
Germany,25834,2022
Austria,25822,2022
United Kingdom,25738,2022
Australia,25562,2022
Puerto Rico,25269,2022
Cyprus,24657,2022
Finland,24054,2022
Belgium,23912,2022
New Zealand,23355,2021
Sweden,22928,2022
Netherlands,22853,2022
Denmark,22763,2022
Italy,22694,2022
France,22353,2022
Macao,21806,2022
Bahrain,21702,2021
Lithuania,21120,2022
Saudi Arabia,20827,2022
United Arab Emirates,20488,2020
Kuwait,20262,2019
Israel,20026,2022
Spain,20003,2022
Slovenia,19979,2022
Portugal,19932,2022
Japan,19758,2021
Ireland,19740,2022
Aruba,19551,2017
Malta,19515,2022
Greece,19324,2022
Poland,19120,2022
Romania,18657,2022
"Korea, South",18489,2022
Turkey,18316,2022
Latvia,17737,2022
"Bahamas, The",17680,2022
Qatar,17602,2020
Estonia,17314,2022
Czech Republic,16798,2022
Croatia,16782,2022
Brunei,16747,2022
Curaçao,16460,2017
Malaysia,16378,2022
Slovakia,16146,2022
Hungary,16128,2022
Bulgaria,15892,2022
Panama,15697,2017
Chile,14748,2022
Oman,14450,2021
Mauritius,14370,2022
Montenegro,14349,2022
Russia,14189,2022
Lebanon,14039,2021
Kazakhstan,13682,2021
Argentina,13572,2022
Costa Rica,12744,2022
Serbia,11949,2022
Mexico,11668,2022
Dominican Republic,11590,2022
Barbados,11567,2017
Georgia,11496,2022
Belarus,11118,2022
Armenia,10773,2022
Colombia,10616,2022
Antigua and Barbuda,10447,2017
Moldova,10431,2022
North Macedonia,10274,2022
Kosovo,10113,2022
Egypt,10014,2022
Bosnia and Herzegovina,9642,2021
Thailand,9180,2022
Brazil,9135,2022
Libya,9010,2017
Albania,8970,2021
Seychelles,8968,2022
Paraguay,8912,2022
South Africa,8648,2022
Tunisia,8572,2022
Dominica,8490,2017
Azerbaijan,8441,2017
Namibia,7928,2022
Ukraine,7852,2022
Peru,7705,2022
Equatorial Guinea,7627,2022
Fiji,7423,2017
Maldives,7315,2021
El Salvador,7217,2022
Jamaica,7072,2022
Guatemala,7054,2022
China,6963,2021
Jordan,6940,2017
Iran,6715,2022
Sri Lanka,6612,2022
Ecuador,6546,2022
Mongolia,6477,2022
Indonesia,6395,2022
Botswana,6338,2022
Bhutan,6244,2021
Philippines,6202,2022
Tonga,5947,2021
Palestine,5856,2022
Bolivia,5833,2021
Vietnam,5616,2021
Eswatini,5459,2021
Uzbekistan,5297,2022
Iraq,5276,2021
Cape Verde,5271,2022
Algeria,5040,2021
Nigeria,4987,2021
Pakistan,4911,2022
Belize,4682,2022
Honduras,4649,2022
India,4636,2022
Morocco,4545,2022
Gabon,4399,2022
Bangladesh,4223,2022
Samoa,4106,2022
Ghana,4104,2022
Kyrgyzstan,3941,2021
Nicaragua,3859,2022
Côte d'Ivoire,3582,2022
Nepal,3555,2022
Kenya,3485,2022
Cambodia,3160,2022
Djibouti,3157,2020
Angola,2986,2022
Mauritania,2788,2022
Comoros,2701,2022
Cameroon,2668,2022
Sudan,2639,2022
Haiti,2597,2022
Senegal,2496,2022
Tajikistan,2417,2021
Lesotho,2396,2020
Benin,2223,2022
Guinea,2037,2022
Rwanda,1904,2022
Sierra Leone,1870,2021
East Timor,1798,2021
Myanmar,1797,2022
"Gambia, The",1783,2022
Tanzania,1759,2022
Uganda,1754,2022
"Congo, Rep.",1752,2022
Zimbabwe,1719,2021
Vanuatu,1708,2019
Mali,1679,2022
Ethiopia,1640,2021
Zambia,1583,2017
Somalia,1575,2017
Burkina Faso,1373,2019
Togo,1338,2022
Solomon Islands,1240,2020
Guinea-Bissau,1234,2020
Madagascar,1188,2022
Chad,1176,2022
Central African Republic,932,2022
Mozambique,871,2021
Niger,869,2022
"Congo, Dem. Rep.",755,2022
Burundi,561,2022
