Country,Year,Inflation rate,Unemployment rate,GDP Per Capita PPP (Current US$),Fintech Investment
Albania,2010,3.626046956,14.086,9626.664893,9
Albania,2011,3.429123247,13.481,10207.16988,6
Albania,2012,2.031592684,13.376,10525.72253,4
Albania,2013,1.937620802,15.866,10570.41983,18.9
Albania,2014,1.625865044,18.055,11258.45728,51.2
Albania,2015,1.896174026,17.193,11658.04575,64.9
Albania,2016,1.275431684,15.418,12078.34882,73.7
Albania,2017,1.986661332,13.616,12769.76258,59.2
Albania,2018,2.028059631,12.304,13497.24932,148.6
Albania,2019,1.41109079,11.466,14617.78491,216.8
Albania,2020,1.620886617,12.79,14436.48504,123.3
Albania,2021,2.041471631,12.473,16261.80455,229.6
Albania,2022,6.725202715,11.588,19492.7831,197.9
Austria,2010,1.81353439,4.883,42002.15714,9
Austria,2011,3.286579149,4.637,44452.73275,6
Austria,2012,2.485675622,4.909,46457.34578,4
Austria,2013,2.000156169,5.367,47922.04912,18.9
Austria,2014,1.60581183,5.674,48799.71547,51.2
Austria,2015,0.896563335,5.802,49865.90394,64.9
Austria,2016,0.891591753,6.064,52684.01711,73.7
Austria,2017,2.081269114,5.561,54172.98679,59.2
Austria,2018,1.998379814,4.933,56937.94428,148.6
Austria,2019,1.530895642,4.56,60574.6271,216.8
Austria,2020,1.381910634,5.201,58610.83436,123.3
Austria,2021,2.766666667,6.459,63421.20359,229.6
Austria,2022,8.546869932,4.992,70975.72063,197.9
Austria,2023,7.81413417,5.243,73751.35271,118.2
Belarus,2010,7.735748043,6.054,15364.02984,9
Belarus,2011,53.22869831,6.024,16563.20141,6
Belarus,2012,59.21973602,5.97,18114.75086,4
Belarus,2013,18.31226104,5.946,19014.05297,18.9
Belarus,2014,18.11955435,5.911,19037.82095,51.2
Belarus,2015,13.53448976,5.881,18133.56963,64.9
Belarus,2016,11.83658077,5.844,17832.47789,73.7
Belarus,2017,6.031837252,5.648,18413.71274,59.2
Belarus,2018,4.872302206,4.763,20026.03067,148.6
Belarus,2019,5.59815595,4.165,22301.57669,216.8
Belarus,2020,5.548143575,4.049,24872.3399,123.3
Belarus,2021,9.460283896,3.9,27611.18011,229.6
Belarus,2022,15.20967527,3.574,28406.06615,197.9
Belarus,2023,5.000599031,3.574,30751.49542,118.2
Belgium,2010,2.189299204,8.293,39833.18405,9
Belgium,2011,3.532082107,7.14,40942.37271,6
Belgium,2012,2.839663434,7.542,42290.76205,4
Belgium,2013,1.11309594,8.425,43671.11959,18.9
Belgium,2014,0.340002833,8.523,44929.68559,51.2
Belgium,2015,0.561429153,8.482,46200.90445,64.9
Belgium,2016,1.973852647,7.83,48597.39998,73.7
Belgium,2017,2.12597086,7.086,50442.27054,59.2
Belgium,2018,2.053164999,5.948,52530.56208,148.6
Belgium,2019,1.43681957,5.36,56621.54176,216.8
Belgium,2020,0.740791812,5.555,55730.95289,123.3
Belgium,2021,2.440248511,6.264,62123.16132,229.6
Belgium,2022,9.597511729,5.558,68274.20064,197.9
Belgium,2023,4.049010776,5.508,70455.95843,118.2
Bosnia and Herzegovina,2010,1.996212367,27.312,9087.25971,9
Bosnia and Herzegovina,2011,3.67125,27.582,9757.455001,6
Bosnia and Herzegovina,2012,2.05267452,28.01,10108.88323,4
Bulgaria,2010,2.438990605,10.279,14955.25983,9
Bulgaria,2011,4.219903466,11.26,15746.5389,6
Bulgaria,2012,2.954568298,12.27,16326.43153,4
Bulgaria,2013,0.890093541,12.941,16648.50693,18.9
Bulgaria,2014,-1.418183803,11.424,17615.10889,51.2
Bulgaria,2015,-0.104633261,9.143,18384.75357,64.9
Bulgaria,2016,-0.798649886,7.575,20064.90795,73.7
Bulgaria,2017,2.061596194,6.164,21455.8755,59.2
Bulgaria,2018,2.814544738,5.212,23004.31955,148.6
Bulgaria,2019,3.103729448,4.23,25526.2811,216.8
Bulgaria,2020,1.672440969,5.125,25735.00085,123.3
Bulgaria,2021,3.297744353,5.267,29404.96051,229.6
Bulgaria,2022,15.32525893,4.268,35463.55499,197.9
Bulgaria,2023,9.442841401,4.295,38689.54807,118.2
Croatia,2010,1.030555053,11.62,20093.22348,9
Croatia,2011,2.272727273,13.678,21150.37516,6
Croatia,2012,3.412073491,15.935,21529.92042,4
Croatia,2013,2.216582064,17.251,22218.1496,18.9
Croatia,2014,-0.21519616,17.29,22463.18245,51.2
Croatia,2015,-0.464499005,16.175,23460.56653,64.9
Croatia,2016,-1.125,13.103,25427.62718,73.7
Croatia,2017,1.129372103,11.208,27391.10878,59.2
Croatia,2018,1.50012501,8.432,29156.34323,148.6
Croatia,2019,0.771820346,6.617,32329.5605,216.8
Croatia,2020,0.154811375,7.507,30688.80845,123.3
Croatia,2021,2.554506996,7.608,37232.59577,229.6
Croatia,2022,10.78058068,6.96,42399.12226,197.9
Croatia,2023,7.941281776,6.063,45909.63448,118.2
Cyprus,2010,2.430040841,6.36,33504.37891,9
Cyprus,2011,3.289449396,7.942,33404.21875,6
Cyprus,2012,2.3890541,12.097,31922.30664,4
Cyprus,2013,-0.399357676,16.131,30450.125,18.9
Cyprus,2014,-1.354988854,16.277,30168.91602,51.2
Cyprus,2015,-2.096997691,15.026,31920.00977,64.9
Cyprus,2016,-1.429166667,13.006,35877.10156,73.7
Cyprus,2017,0.531766496,11.155,38411.41406,59.2
Cyprus,2018,1.435491195,8.504,40673.72656,148.6
Cyprus,2019,0.250370997,7.155,44685.13672,216.8
Cyprus,2020,-0.638422798,7.755,42796.03516,123.3
Cyprus,2021,2.446088672,7.513,48466.84375,229.6
Cyprus,2022,8.39548298,6.807,53776.30859,197.9
Cyprus,2023,3.541341888,5.964,57100.46484,118.2
Czechia,2010,1.472727273,7.281,27877.14374,9
Czechia,2011,1.917219136,6.712,29001.36804,6
Czechia,2012,3.287623066,6.979,29254.73127,4
Czechia,2013,1.438297872,6.953,30818.10816,18.9
Czechia,2014,0.34398859,6.108,32502.47535,51.2
Czechia,2015,0.309364548,5.048,33899.28657,64.9
Czechia,2016,0.683504209,3.952,36097.70526,73.7
Czechia,2017,2.450533985,2.893,38824.88792,59.2
Czechia,2018,2.149494949,2.246,41143.82705,148.6
Czechia,2019,2.847875959,2.015,44859.80056,216.8
Czechia,2020,3.161295285,2.551,43922.53098,123.3
Czechia,2021,3.839844915,2.803,48418.11579,229.6
Czechia,2022,15.10016515,2.224,51701.94914,197.9
Czechia,2023,10.66126014,2.593,53816.80339,118.2
Denmark,2010,2.31092437,7.747,42995.61757,9
Denmark,2011,2.758682261,7.769,44403.38484,6
Denmark,2012,2.397914857,7.798,44803.96824,4
Denmark,2013,0.78907178,7.384,46726.85414,18.9
Denmark,2014,0.56402054,6.925,47901.44736,51.2
Denmark,2015,0.452034154,6.278,49045.33919,64.9
Denmark,2016,0.25,5.989,51976.00571,73.7
Denmark,2017,1.14713217,5.833,55356.68078,59.2
Denmark,2018,0.813609467,5.131,57482.9624,148.6
Denmark,2019,0.758131573,5.018,60787.46336,216.8
Denmark,2020,0.420711974,5.637,62529.25106,123.3
Denmark,2021,1.85304544,5.043,69878.93481,229.6
Denmark,2022,7.696566999,4.434,77953.67866,197.9
Denmark,2023,3.305178112,5.142,76687.90284,118.2
Estonia,2010,2.97204512,16.707,21615.74005,9
Estonia,2011,4.981901315,12.328,24557.23615,6
Estonia,2012,3.933399873,10.021,25996.04678,4
Estonia,2013,2.78056659,8.631,27464.51868,18.9
Estonia,2014,-0.106175147,7.352,28945.46533,51.2
Estonia,2015,-0.492326007,6.412,29175.92593,64.9
Estonia,2016,0.148684908,6.882,31312.7523,73.7
Estonia,2017,3.417235495,5.807,33821.93291,59.2
Estonia,2018,3.436326884,5.412,36410.12209,148.6
Estonia,2019,2.277259312,4.514,39843.64023,216.8
Estonia,2020,-0.444531098,6.956,40045.38469,123.3
Estonia,2021,4.653166738,6.178,44651.99922,229.6
Estonia,2022,19.39826341,5.571,47941.67913,197.9
Estonia,2023,9.15922508,6.345,48992.14095,118.2
Finland,2010,1.184135232,8.394,38949.7245,9
Finland,2011,3.416807543,7.781,40916.83858,6
Finland,2012,2.808336226,7.689,40873.09533,4
Finland,2013,1.478286157,8.193,41493.14165,18.9
Finland,2014,1.041196212,8.663,41757.40219,51.2
Finland,2015,-0.20792884,9.376,42497.70498,64.9
Finland,2016,0.356684501,8.818,44934.44821,73.7
Finland,2017,0.754015047,8.64,47570.13358,59.2
Finland,2018,1.083820984,7.361,49579.331,148.6
Finland,2019,1.02409393,6.695,52569.80006,216.8
Finland,2020,0.290554556,7.759,53668.81909,123.3
Finland,2021,2.194574323,7.606,57788.90346,229.6
Finland,2022,7.123507733,6.719,62599.00556,197.9
Finland,2023,6.250643222,7.155,65060.67416,118.2
France,2010,1.531122704,9.279,35894.99211,9
France,2011,2.111597952,9.228,37439.23314,6
France,2012,1.954195316,9.841,37677.72679,4
France,2013,0.863715498,9.913,39521.69698,18.9
France,2014,0.507758823,10.273,40144.02683,51.2
France,2015,0.037514381,10.354,40849.99738,64.9
France,2016,0.183334861,10.057,42924.61363,73.7
France,2017,1.032282751,9.41,44577.06457,59.2
France,2018,1.850815083,9.018,46537.47404,148.6
France,2019,1.108254923,8.415,51240.0683,216.8
France,2020,0.476498853,8.01,49494.29008,123.3
France,2021,1.64233141,7.874,53834.7993,229.6
France,2022,5.222367484,7.308,57594.03402,197.9
France,2023,4.878357265,7.323,61156.77282,118.2
Germany,2010,1.103810378,6.967,38945.92173,9
Germany,2011,2.075172837,5.825,42541.53109,6
Germany,2012,2.008488848,5.379,43359.61483,4
Germany,2013,1.504723303,5.231,44993.89275,18.9
Germany,2014,0.906794,4.981,47011.55109,51.2
Germany,2015,0.514426137,4.624,47609.781,64.9
Germany,2016,0.491747008,4.122,50579.68393,73.7
Germany,2017,1.509494851,3.746,53071.45557,59.2
Germany,2018,1.732168798,3.384,55195.84054,148.6
Germany,2019,1.445659769,3.136,58251.77308,216.8
Germany,2020,0.144877926,3.856,57905.17955,123.3
Germany,2021,3.066666667,3.638,61939.65159,229.6
Germany,2022,6.872574386,3.135,66616.02225,197.9
Germany,2023,5.946436677,3.045,69338.29323,118.2
Greece,2010,4.712989078,12.719,27908.29592,9
Greece,2011,3.329853234,17.973,25671.51609,6
Greece,2012,1.501526962,24.731,24911.11963,4
Greece,2013,-0.921269454,27.686,25986.65032,18.9
Greece,2014,-1.312260964,26.708,26625.06181,51.2
Greece,2015,-1.735888048,24.981,26760.3633,64.9
Greece,2016,-0.825653978,23.514,27511.80102,73.7
Greece,2017,1.12125452,21.414,28604.86094,59.2
Greece,2018,0.625621413,19.179,29617.54834,148.6
Greece,2019,0.253007522,17.045,31611.21144,216.8
Greece,2020,-1.247983556,15.899,29088.20806,123.3
Greece,2021,1.22382501,14.657,33018.25442,229.6
Greece,2022,9.645259813,12.426,38922.47423,197.9
Greece,2023,3.464801285,10.997,41186.8122,118.2
Hungary,2010,4.855557957,11.172,21738.89659,9
Hungary,2011,3.929920989,11.029,23029.44718,6
Hungary,2012,5.652145171,11.003,23267.44839,4
Hungary,2013,1.73319985,10.177,24547.98053,18.9
Hungary,2014,-0.227566271,7.725,25691.52726,51.2
Hungary,2015,-0.06164468,6.813,26798.85417,64.9
Hungary,2016,0.394769307,5.115,27941.92686,73.7
Hungary,2017,2.348242812,4.156,29496.16368,59.2
Hungary,2018,2.850247926,3.709,31908.86345,148.6
Hungary,2019,3.338586354,3.419,35152.6037,216.8
Hungary,2020,3.326743858,4.25,35029.91322,123.3
Hungary,2021,5.110965344,4.045,38647.99808,229.6
Hungary,2022,14.60814395,3.609,43577.88714,197.9
Hungary,2023,17.12496597,4.126,45942.16949,118.2
Iceland,2010,5.396731132,7.564,39768.41696,9
Iceland,2011,4.001026643,7.028,40936.86783,6
Iceland,2012,5.185899888,6,42004.44761,4
Iceland,2013,3.872279237,5.376,44409.66895,18.9
Iceland,2014,2.044614815,4.897,45996.96875,51.2
Iceland,2015,1.633055582,3.979,49201.0641,64.9
Iceland,2016,1.69692762,2.978,53480.39719,73.7
Iceland,2017,1.760415592,2.742,55638.49206,59.2
Iceland,2018,2.682917683,2.704,57197.76762,148.6
Iceland,2019,3.013971792,3.507,60523.81794,216.8
Iceland,2020,2.847924015,5.478,55796.74547,123.3
Iceland,2021,4.444239702,6.029,61966.41677,229.6
Iceland,2022,8.308755116,3.789,73471.4997,197.9
Iceland,2023,8.736302999,3.562,77567.19181,118.2
Ireland,2010,-0.918388645,14.534,43202.95569,9
Ireland,2011,2.548978302,15.354,45116.98841,6
Ireland,2012,1.694741167,15.451,46283.72897,4
Ireland,2013,0.515099485,13.735,47797.14967,18.9
Ireland,2014,0.190916399,11.858,51238.80033,51.2
Ireland,2015,-0.330959783,9.908,69214.422,64.9
Ireland,2016,0.020124774,8.374,71410.36927,73.7
Ireland,2017,0.362173038,6.713,78168.96774,59.2
Ireland,2018,0.471130714,5.741,84918.33838,148.6
Ireland,2019,0.937842961,4.95,90940.63476,216.8
Ireland,2020,-0.326183651,5.623,97066.70605,123.3
Ireland,2021,2.340341134,6.194,114120.5445,229.6
Ireland,2022,7.829457364,4.479,133822.7587,197.9
Ireland,2023,6.299424874,4.34,127623.3944,118.2
Italy,2010,1.525516021,8.363,35152.39464,9
Italy,2011,2.780632729,8.359,36598.01497,6
Italy,2012,3.041363332,10.655,36486.29679,4
Italy,2013,1.219993423,12.149,36314.6971,18.9
Italy,2014,0.24104743,12.683,36194.87392,51.2
Italy,2015,0.0387904,11.896,36899.38521,64.9
Italy,2016,-0.094016657,11.688,39926.95466,73.7
Italy,2017,1.226533166,11.211,41581.12079,59.2
Italy,2018,1.137487636,10.61,43036.24378,148.6
Italy,2019,0.611246944,9.952,46470.03733,216.8
Italy,2020,-0.137707574,9.164,44202.23558,123.3
Italy,2021,1.873783258,9.497,49901.61214,229.6
Italy,2022,8.201289912,8.069,55908.25547,197.9
Italy,2023,5.622194422,7.618,58754.90788,118.2
Latvia,2010,-1.08463595,19.482,17703.9136,9
Latvia,2011,4.370735599,16.206,19248.45801,6
Latvia,2012,2.257789244,15.047,21290.50165,4
Latvia,2013,-0.029454778,11.867,22639.15903,18.9
Latvia,2014,0.620490637,10.846,23815.6086,51.2
Latvia,2015,0.174242244,9.873,24972.83628,64.9
Latvia,2016,0.140633335,9.643,26721.8365,73.7
Latvia,2017,2.930363124,8.715,28673.62257,59.2
Latvia,2018,2.534454242,7.412,30877.04193,148.6
Latvia,2019,2.811409201,6.312,33294.50779,216.8
Latvia,2020,0.219064905,8.098,33733.06513,123.3
Latvia,2021,3.275829374,7.513,36777.89285,229.6
Latvia,2022,17.31028302,6.815,41106.52707,197.9
Latvia,2023,8.938046233,6.534,42501.02788,118.2
Lithuania,2010,1.319213621,17.814,20093.34539,9
Lithuania,2011,4.130275626,15.39,22884.87559,6
Lithuania,2012,3.089982771,13.365,24703.7404,4
Lithuania,2013,1.047479371,11.77,26721.70022,18.9
Lithuania,2014,0.103758009,10.698,28184.2813,51.2
Lithuania,2015,-0.884097406,9.12,28834.55702,64.9
Lithuania,2016,0.905525075,7.862,30925.24138,73.7
Lithuania,2017,3.722888623,7.073,33761.9475,59.2
Lithuania,2018,2.697927792,6.147,36376.52788,148.6
Lithuania,2019,2.33450938,6.255,40577.80374,216.8
Lithuania,2020,1.19989445,8.487,41168.21498,123.3
Lithuania,2021,4.683544209,7.112,46410.06764,229.6
Lithuania,2022,19.70504615,5.956,50997.27897,197.9
Lithuania,2023,9.117319624,6.962,51877.00652,118.2
Luxembourg,2010,2.273679116,4.361,90346.06883,9
Luxembourg,2011,3.410683411,4.902,94475.03023,6
Luxembourg,2012,2.662841655,5.14,96636.42664,4
Luxembourg,2013,1.734039635,5.848,100925.012,18.9
