id,state,state_abv,turnout_2024,turnout_2020,change
1,Alabama,AL,58.89%,61.46%,-2.57%
2,Alaska,AK,56.94%,68.23%,-11.29%
4,Arizona,AZ,63.60%,66.63%,-3.03%
5,Arkansas,AR,53.48%,56.17%,-2.69%
6,California,CA,62.48%,68.83%,-6.35%
8,Colorado,CO,73.12%,76.69%,-3.57%
9,Connecticut,CT,67.12%,70.09%,-2.97%
10,Delaware,DE,67.02%,68.34%,-1.32%
12,Florida,FL,66.71%,70.79%,-4.08%
13,Georgia,GA,68.26%,67.06%,+1.20%
15,Hawaii,HI,50.27%,55.35%,-5.08%
16,Idaho,ID,63.61%,64.94%,-1.33%
17,Illinois,IL,59.59%,66.52%,-6.93%
18,Indiana,IN,58.66%,61.06%,-2.40%
19,Iowa,IA,70.82%,72.04%,-1.22%
20,Kansas,KS,61.58%,65.10%,-3.52%
21,Kentucky,KY,62.06%,64.41%,-2.35%
22,Louisiana,LA,60.77%,64.14%,-3.37%
23,Maine,ME,72.27%,74.87%,-2.60%
24,Maryland,MD,67.89%,69.45%,-1.56%
25,Massachusetts,MA,67.78%,71.31%,-3.53%
26,Michigan,MI,74.69%,73.27%,+1.42%
27,Minnesota,MN,76.41%,79.21%,-2.80%
28,Mississippi,MS,57.45%,60.63%,-3.18%
29,Missouri,MO,64.34%,65.49%,-1.15%
30,Montana,MT,68.49%,71.34%,-2.85%
31,Nebraska,NE,68.01%,69.06%,-1.05%
32,Nevada,NV,65.80%,64.25%,+1.55%
33,New Hampshire,NH,74.36%,73.96%,+0.40%
34,New Jersey,NJ,63.78%,72.04%,-8.26%
35,New Mexico,NM,59.68%,60.49%,-0.81%
36,New York,NY,57.87%,61.71%,-3.84%
37,North Carolina,NC,70.33%,71.00%,-0.67%
38,North Dakota,ND,63.10%,63.07%,+0.03%
39,Ohio,OH,65.66%,67.08%,-1.42%
40,Oklahoma,OK,53.28%,54.43%,-1.15%
41,Oregon,OR,70.00%,75.33%,-5.33%
42,Pennsylvania,PA,71.18%,69.93%,+1.25%
44,Rhode Island,RI,62.87%,63.09%,-0.22%
45,South Carolina,SC,62.14%,64.71%,-2.57%
46,South Dakota,SD,64.52%,65.62%,-1.10%
47,Tennessee,TN,57.61%,59.24%,-1.63%
48,Texas,TX,56.57%,59.79%,-3.22%
49,Utah,UT,64.16%,67.22%,-3.06%
50,Vermont,VT,70.89%,71.25%,-0.36%
51,Virginia,VA,71.06%,71.79%,-0.73%
53,Washington,WA,70.05%,75.33%,-5.28%
54,West Virginia,WV,55.49%,57.19%,-1.70%
55,Wisconsin,WI,76.37%,75.04%,+1.33%
56,Wyoming,WY,61.28%,64.74%,-3.46%
